name,url,promoted_content,tweet_volume
Quiñones,http://twitter.com/search?q=Qui%C3%B1ones,,
#PaguenLoQueDeben,http://twitter.com/search?q=%23PaguenLoQueDeben,,
#SabadoDeGloria,http://twitter.com/search?q=%23SabadoDeGloria,,
#PERSONA1Year,http://twitter.com/search?q=%23PERSONA1Year,,170853
#GoldenSehunDay,http://twitter.com/search?q=%23GoldenSehunDay,,923624
#eLIGABBVAMX,http://twitter.com/search?q=%23eLIGABBVAMX,,
Pizarro con Carioca,http://twitter.com/search?q=%22Pizarro+con+Carioca%22,,
Colibritany,http://twitter.com/search?q=Colibritany,,
Luis Reyes,http://twitter.com/search?q=%22Luis+Reyes%22,,
Nintendomanía,http://twitter.com/search?q=Nintendoman%C3%ADa,,21801
Enner,http://twitter.com/search?q=Enner,,
Game Over,http://twitter.com/search?q=%22Game+Over%22,,15129
María del Carmen,http://twitter.com/search?q=%22Mar%C3%ADa+del+Carmen%22,,37728
Vamos Tigres,http://twitter.com/search?q=%22Vamos+Tigres%22,,
Eugenio Derbez,http://twitter.com/search?q=%22Eugenio+Derbez%22,,
LeBron James,http://twitter.com/search?q=%22LeBron+James%22,,
reto 3,http://twitter.com/search?q=%22reto+3%22,,
Fidel Herrera,http://twitter.com/search?q=%22Fidel+Herrera%22,,
Happy Birthday Brandon,http://twitter.com/search?q=%22Happy+Birthday+Brandon%22,,15003
Fútbol Americano,http://twitter.com/search?q=%22F%C3%BAtbol+Americano%22,,
Francisco González Bocanegra,http://twitter.com/search?q=%22Francisco+Gonz%C3%A1lez+Bocanegra%22,,
sehunnie,http://twitter.com/search?q=sehunnie,,33664
Himno Nacional Mexicano,http://twitter.com/search?q=%22Himno+Nacional+Mexicano%22,,
El 11,http://twitter.com/search?q=%22El+11%22,,12964
Akron,http://twitter.com/search?q=Akron,,
Dolores del Río,http://twitter.com/search?q=%22Dolores+del+R%C3%ADo%22,,
Dionysus,http://twitter.com/search?q=Dionysus,,10982
Liam y Niall,http://twitter.com/search?q=%22Liam+y+Niall%22,,
Pacto Fiscal,http://twitter.com/search?q=%22Pacto+Fiscal%22,,18070
Gustavo Rodríguez,http://twitter.com/search?q=%22Gustavo+Rodr%C3%ADguez%22,,
Jerez,http://twitter.com/search?q=Jerez,,
árbol,http://twitter.com/search?q=%C3%A1rbol,,
Puente de Ixtla,http://twitter.com/search?q=%22Puente+de+Ixtla%22,,
Excelente Sábado,http://twitter.com/search?q=%22Excelente+S%C3%A1bado%22,,
hoy 11,http://twitter.com/search?q=%22hoy+11%22,,
VIGILIA PASCUAL,http://twitter.com/search?q=%22VIGILIA+PASCUAL%22,,
george michael,http://twitter.com/search?q=%22george+michael%22,,
Vigilante Ciudadano,http://twitter.com/search?q=%22Vigilante+Ciudadano%22,,
reino aventura,http://twitter.com/search?q=%22reino+aventura%22,,
Faith,http://twitter.com/search?q=Faith,,176544
#GusRodriguez,http://twitter.com/search?q=%23GusRodriguez,,
#mejortelefonogratis,http://twitter.com/search?q=%23mejortelefonogratis,,15480
#AMLOseVA14,http://twitter.com/search?q=%23AMLOseVA14,,
#Popocatepetl,http://twitter.com/search?q=%23Popocatepetl,,15270
#DíaMundialdelParkinson,http://twitter.com/search?q=%23D%C3%ADaMundialdelParkinson,,
#MyEngineerEP7,http://twitter.com/search?q=%23MyEngineerEP7,,108652
#SaturdayMorning,http://twitter.com/search?q=%23SaturdayMorning,,34387
#Volcanes,http://twitter.com/search?q=%23Volcanes,,
#cuandoestésaquí,http://twitter.com/search?q=%23cuandoest%C3%A9saqu%C3%AD,,
#invitaciónine,http://twitter.com/search?q=%23invitaci%C3%B3nine,,
