name,url,promoted_content,tweet_volume
#SiFueranVacacionesYo,http://twitter.com/search?q=%23SiFueranVacacionesYo,,
#voyConvoy,http://twitter.com/search?q=%23voyConvoy,,
#QuéPasóOlallo,http://twitter.com/search?q=%23Qu%C3%A9Pas%C3%B3Olallo,,
Bonafont,http://twitter.com/search?q=Bonafont,,
BTS PAVED THE WAY,http://twitter.com/search?q=%22BTS+PAVED+THE+WAY%22,,
Paulo Londra,http://twitter.com/search?q=%22Paulo+Londra%22,,13632
#LordMolecula,http://twitter.com/search?q=%23LordMolecula,,
#mividanoesvidasitu,http://twitter.com/search?q=%23mividanoesvidasitu,,
Tlalnepantla,http://twitter.com/search?q=Tlalnepantla,,27794
Ciro Gómez Leyva,http://twitter.com/search?q=%22Ciro+G%C3%B3mez+Leyva%22,,
Marge,http://twitter.com/search?q=Marge,,
Carlos Loret de Mola,http://twitter.com/search?q=%22Carlos+Loret+de+Mola%22,,10472
Adán Vez Lira,http://twitter.com/search?q=%22Ad%C3%A1n+Vez+Lira%22,,
Ciel,http://twitter.com/search?q=Ciel,,30128
Jongho,http://twitter.com/search?q=Jongho,,20265
epura,http://twitter.com/search?q=epura,,
soy aries,http://twitter.com/search?q=%22soy+aries%22,,
abraham lincoln,http://twitter.com/search?q=%22abraham+lincoln%22,,
Santa María,http://twitter.com/search?q=%22Santa+Mar%C3%ADa%22,,
Actopan,http://twitter.com/search?q=Actopan,,
PAGUEN,http://twitter.com/search?q=PAGUEN,,28809
Fake Love,http://twitter.com/search?q=%22Fake+Love%22,,16155
Zoe Robledo,http://twitter.com/search?q=%22Zoe+Robledo%22,,
love yourself,http://twitter.com/search?q=%22love+yourself%22,,27659
Molécula,http://twitter.com/search?q=Mol%C3%A9cula,,
Huiquidios,http://twitter.com/search?q=Huiquidios,,
Ángel Mena,http://twitter.com/search?q=%22%C3%81ngel+Mena%22,,
Brozo y Loret,http://twitter.com/search?q=%22Brozo+y+Loret%22,,
lautaro,http://twitter.com/search?q=lautaro,,
Federico Reyes Heroles,http://twitter.com/search?q=%22Federico+Reyes+Heroles%22,,
the eternal,http://twitter.com/search?q=%22the+eternal%22,,
Alexis Castro,http://twitter.com/search?q=%22Alexis+Castro%22,,
Warren,http://twitter.com/search?q=Warren,,222579
Pied Piper,http://twitter.com/search?q=%22Pied+Piper%22,,
Dimple,http://twitter.com/search?q=Dimple,,68723
Reporta SRE 108,http://twitter.com/search?q=%22Reporta+SRE+108%22,,
#CinepolisKlic,http://twitter.com/search?q=%23CinepolisKlic,,
#KaraokeConMaite,http://twitter.com/search?q=%23KaraokeConMaite,,
#PrevencionEdomex,http://twitter.com/search?q=%23PrevencionEdomex,,
#stayselcaday,http://twitter.com/search?q=%23stayselcaday,,168549
#8deAbril,http://twitter.com/search?q=%238deAbril,,
#unclamor,http://twitter.com/search?q=%23unclamor,,
#BoxeoxFOX,http://twitter.com/search?q=%23BoxeoxFOX,,
#8abr,http://twitter.com/search?q=%238abr,,95098
#TeamAndrea,http://twitter.com/search?q=%23TeamAndrea,,
#MBBWontStopFighting,http://twitter.com/search?q=%23MBBWontStopFighting,,21178
#YoSoySigma,http://twitter.com/search?q=%23YoSoySigma,,
#mariafelix,http://twitter.com/search?q=%23mariafelix,,
#TowerOfGod,http://twitter.com/search?q=%23TowerOfGod,,
#EnPantufla,http://twitter.com/search?q=%23EnPantufla,,
