name,url,promoted_content,tweet_volume
#FelizJueves,http://twitter.com/search?q=%23FelizJueves,,29778
#MiCasaEsTuCasa,http://twitter.com/search?q=%23MiCasaEsTuCasa,,
#BANGBANGCON,http://twitter.com/search?q=%23BANGBANGCON,,222350
#LevelOfConcern,http://twitter.com/search?q=%23LevelOfConcern,,52323
Pedrito,http://twitter.com/search?q=Pedrito,,
#LaCuarentenaTerminaraCuando,http://twitter.com/search?q=%23LaCuarentenaTerminaraCuando,,
Edgar Pliego,http://twitter.com/search?q=%22Edgar+Pliego%22,,
Los López,http://twitter.com/search?q=%22Los+L%C3%B3pez%22,,
Rusia y Arabia Saudita,http://twitter.com/search?q=%22Rusia+y+Arabia+Saudita%22,,
Gael,http://twitter.com/search?q=Gael,,
Gran Depresión,http://twitter.com/search?q=%22Gran+Depresi%C3%B3n%22,,
Twenty One Pilots,http://twitter.com/search?q=%22Twenty+One+Pilots%22,,65382
gorillaz,http://twitter.com/search?q=gorillaz,,13149
Kristen Stewart,http://twitter.com/search?q=%22Kristen+Stewart%22,,
Eucaristía,http://twitter.com/search?q=Eucarist%C3%ADa,,
Karla Panini,http://twitter.com/search?q=%22Karla+Panini%22,,
Pedro Sola,http://twitter.com/search?q=%22Pedro+Sola%22,,
Tomás Urtusástegui,http://twitter.com/search?q=%22Tom%C3%A1s+Urtus%C3%A1stegui%22,,
Fernando Valenzuela,http://twitter.com/search?q=%22Fernando+Valenzuela%22,,
Vagabundo,http://twitter.com/search?q=Vagabundo,,24522
Moulin Rouge,http://twitter.com/search?q=%22Moulin+Rouge%22,,
Charles Baudelaire,http://twitter.com/search?q=%22Charles+Baudelaire%22,,
elogia amlo,http://twitter.com/search?q=%22elogia+amlo%22,,
Van 97,http://twitter.com/search?q=%22Van+97%22,,
NADIE NUNCA,http://twitter.com/search?q=%22NADIE+NUNCA%22,,
engaño,http://twitter.com/search?q=enga%C3%B1o,,44634
Hegel,http://twitter.com/search?q=Hegel,,
Ermita Iztapalapa,http://twitter.com/search?q=%22Ermita+Iztapalapa%22,,
Última Cena,http://twitter.com/search?q=%22%C3%9Altima+Cena%22,,
Enjuiciar a Javier Lozano,http://twitter.com/search?q=%22Enjuiciar+a+Javier+Lozano%22,,
germán martínez,http://twitter.com/search?q=%22germ%C3%A1n+mart%C3%ADnez%22,,
OTRA ALERTA EPIDEMIOLÓGICA,http://twitter.com/search?q=%22OTRA+ALERTA+EPIDEMIOL%C3%93GICA%22,,
Casablanca,http://twitter.com/search?q=Casablanca,,
espera méxico,http://twitter.com/search?q=%22espera+m%C3%A9xico%22,,
#SelenasBoyfriend,http://twitter.com/search?q=%23SelenasBoyfriend,,137716
#ToqueDeQueda,http://twitter.com/search?q=%23ToqueDeQueda,,
#SinSalirYo,http://twitter.com/search?q=%23SinSalirYo,,
#BTS_concert_at_home,http://twitter.com/search?q=%23BTS_concert_at_home,,104516
#AguaParaTodos,http://twitter.com/search?q=%23AguaParaTodos,,
#OposicionGolpista,http://twitter.com/search?q=%23OposicionGolpista,,39807
#whenyouwakeup,http://twitter.com/search?q=%23whenyouwakeup,,
#DíaporlaIntegridad,http://twitter.com/search?q=%23D%C3%ADaporlaIntegridad,,
#NCTzenSelcaDay,http://twitter.com/search?q=%23NCTzenSelcaDay,,426647
#JuevesMusicales,http://twitter.com/search?q=%23JuevesMusicales,,
#UniverseSelcaDay,http://twitter.com/search?q=%23UniverseSelcaDay,,14743
#ModeloCentinela,http://twitter.com/search?q=%23ModeloCentinela,,
#JuevesdeRockconMiguel,http://twitter.com/search?q=%23JuevesdeRockconMiguel,,
#MCND_COMEBACK_Spring,http://twitter.com/search?q=%23MCND_COMEBACK_Spring,,27207
#30DiasBondoni,http://twitter.com/search?q=%2330DiasBondoni,,
#selenagomez,http://twitter.com/search?q=%23selenagomez,,
